종목명,코드,시가총액,FF,유동시총,거래대금,PER,PBR,자본잠식,유형,HBM양산,HBM노출도,메모리향비중,HBM공정확인,위원회확인,감사의견,관리종목
삼성전자,005930,15784952.2,0.7859,12405393.9,93164.9,40.88,4.22,False,메모리제조,True,0.10,0.55,True,True,적정,False
SK하이닉스,000660,13676758.4,0.7749,10598120.1,122462.8,30.93,11.17,False,메모리제조,True,0.40,0.95,True,True,적정,False
한미반도체,042700,205874.4,0.4382,90214.2,4203.6,95.74,29.68,False,장비,False,0.60,0.80,True,True,적정,False
테크윙,089030,18823.3,0.7233,13614.9,1173.2,193.16,8.44,False,장비,False,0.30,0.80,True,True,적정,False
하나마이크론,067310,24036.4,0.737,17714.8,1126.2,56.75,6.02,False,패키징,False,0.03,0.60,False,False,적정,False
ISC,095340,31202.1,0.5084,15863.1,596.8,53.66,5.61,False,부품,False,0.15,0.15,True,False,적정,False
와이씨켐,112290,1878.5,0.5991,1125.4,89.6,40.57,3.82,False,소재,False,0.10,0.75,True,True,적정,False
엠케이전자,033160,3955.8,0.6086,2407.5,261.5,259.52,0.93,False,소재,False,0.00,0.50,False,False,적정,False
심텍,222800,36827.0,0.667,24563.6,1030.8,0.0,6.38,False,기판,False,0.00,0.75,False,False,적정,False
대덕전자,353200,60881.7,0.6724,40936.9,1603.1,133.33,7.07,False,기판,False,0.00,0.45,False,False,적정,False
이엔에프테크놀로지,102710,6458.1,0.6454,4168.1,68.0,12.43,1.44,False,소재,False,0.03,0.65,False,False,적정,False
솔브레인,357780,23024.6,0.5353,12325.1,318.0,28.78,2.15,False,소재,False,0.05,0.70,False,False,적정,False
한솔케미칼,014680,25990.4,0.8266,21483.7,223.7,17.58,2.37,False,소재,False,0.00,0.50,False,False,적정,False
HPSP,403870,32632.0,0.5745,18747.1,2921.8,44.01,10.4,False,장비,False,0.00,0.40,False,False,적정,False
오픈엣지테크놀로지,394280,2719.0,0.7828,2128.4,36.2,0.0,15.11,False,설계IP,False,0.10,0.20,False,False,적정,False
이오테크닉스,039030,40469.7,0.6894,27899.8,792.9,70.06,5.88,False,장비,False,0.00,0.50,False,False,적정,False
오로스테크놀로지,322310,1626.0,0.4418,718.4,89.0,0.0,2.53,False,장비,False,0.03,0.80,False,False,적정,False
인텍플러스,064290,4616.6,0.8472,3911.2,216.7,0.0,9.52,False,장비,False,0.02,0.40,False,False,적정,False
티에스이,131290,26492.1,0.4963,13148.0,291.7,67.92,6.77,False,부품,False,0.05,0.60,False,False,적정,False
네오셈,253590,4259.7,0.4139,1763.1,137.6,77.06,3.46,False,장비,False,0.05,0.90,False,False,적정,False
유니테스트,086390,2050.0,0.7642,1566.6,50.3,0.0,2.03,False,장비,False,0.00,0.55,False,False,적정,False
디아이,003160,5829.8,0.546,3183.1,103.6,105.1,3.28,False,장비,False,0.35,0.85,True,True,적정,False
넥스틴,348210,3740.3,0.703,2629.4,65.6,0.0,2.42,False,장비,False,0.50,0.65,True,True,적정,False
SFA반도체,036540,9078.2,0.4471,4058.9,672.2,0.0,1.91,False,패키징,False,0.00,0.75,False,False,적정,False
LB세미콘,061970,2425.0,0.7276,1764.4,56.5,0.0,0.95,False,패키징,False,0.02,0.20,False,False,적정,False
해성디에스,195870,9129.0,0.6369,5814.3,222.9,38.33,1.62,False,기판,False,0.00,0.35,False,False,적정,False
동진쎄미켐,005290,23140.4,0.6133,14192.0,462.7,23.56,2.15,False,소재,False,0.00,0.55,False,False,적정,False
하나머티리얼즈,166090,10818.4,0.5293,5726.2,154.9,27.57,2.28,False,소재,False,0.00,0.50,False,False,적정,False
원익머트리얼즈,104830,4305.6,0.5427,2336.6,37.4,8.84,0.82,False,소재,False,0.02,0.60,False,False,적정,False
티이엠씨,425040,2056.4,0.6531,1343.0,350.2,12.36,0.99,False,소재,False,0.00,0.80,False,False,적정,False
케이씨텍,281820,17046.6,0.406,6920.9,204.9,32.06,3.2,False,장비,False,0.00,0.60,False,False,적정,False
주성엔지니어링,036930,76182.6,0.6653,50684.3,5273.6,209.86,12.68,False,장비,False,0.03,0.70,False,False,적정,False
이수페타시스,007660,68564.2,0.7387,50648.4,1522.5,41.0,9.08,False,기판,False,0.02,0.10,False,False,적정,False
