,종목명,비중(%),ADV(억),포지션(억),포지션/ADV(배),청산 소요일,허용 AUM(억)
005930,삼성전자,21.57,93490.854,215.7,0.002,0.012,433430.0
000660,SK하이닉스,18.43,122926.378,184.3,0.001,0.007,666991.0
042700,한미반도체,18.0,4215.752,180.0,0.043,0.213,23421.0
348210,넥스틴,3.25,64.804,32.5,0.502,2.508,1994.0
003160,디아이,3.93,99.525,39.3,0.395,1.974,2532.0
089030,테크윙,16.82,1110.106,168.2,0.152,0.758,6600.0
112290,와이씨켐,0.3,88.877,3.0,0.034,0.169,29626.0
253590,네오셈,0.47,126.53,4.7,0.037,0.186,26921.0
357780,솔브레인,3.26,316.971,32.6,0.103,0.514,9723.0
322310,오로스테크놀로지,0.19,86.75,1.9,0.022,0.11,45658.0
036930,주성엔지니어링,13.42,5200.825,134.2,0.026,0.129,38754.0
425040,티이엠씨,0.36,346.431,3.6,0.01,0.052,96231.0
