CU금액(억),1CU ETF좌수,총괴리(bp),종목괴리(bp),최대괴리(bp),현금(bp),0주 종목수,충족,초과율(%),p95 괴리(bp),강건
1,10000,128.24,64.12,39.4,128.24,0,False,100.0,287.94,False
2,20000,93.6,46.8,39.4,93.6,0,False,100.0,150.28,False
3,30000,74.26,37.13,39.4,74.26,0,False,100.0,100.88,False
5,50000,37.1,18.55,17.88,37.1,0,False,99.3,57.99,False
7,70000,23.31,11.65,14.86,23.31,0,False,89.7,41.3,False
10,100000,16.15,8.07,6.19,16.15,0,False,75.0,29.36,False
15,150000,12.27,6.14,5.04,12.27,0,True,33.7,19.69,False
20,200000,7.86,3.93,5.04,7.86,0,True,4.3,14.9,False
30,300000,9.07,4.53,5.04,9.07,0,True,0.0,9.75,True
50,500000,4.29,2.15,1.6,4.29,0,True,0.0,5.86,True
