,종목명,목표비중(%),가격,주식수,금액(원),실제비중(%),괴리(bp)
005930,삼성전자,21.57,249500.0,1729,431385500.0,21.569,-0.073
000660,SK하이닉스,18.43,1759000.0,209,367631000.0,18.382,-4.845
042700,한미반도체,18.0,200000.0,1800,360000000.0,18.0,0.0
348210,넥스틴,3.25,33050.0,1966,64976300.0,3.249,-0.119
003160,디아이,3.93,19600.0,4010,78596000.0,3.93,-0.02
089030,테크윙,16.82,45050.0,7467,336388350.0,16.819,-0.058
112290,와이씨켐,0.3,9000.0,666,5994000.0,0.3,-0.03
253590,네오셈,0.47,9040.0,1039,9392560.0,0.47,-0.037
357780,솔브레인,3.26,270000.0,241,65070000.0,3.254,-0.65
322310,오로스테크놀로지,0.19,15620.0,243,3795660.0,0.19,-0.022
036930,주성엔지니어링,13.42,141000.0,1903,268323000.0,13.416,-0.385
425040,티이엠씨,0.36,8580.0,839,7198620.0,0.36,-0.007
