CU금액(억),1CU ETF좌수,총괴리(bp),종목괴리(bp),최대괴리(bp),현금(bp),0주 종목수,충족,초과율(%),p95 괴리(bp),강건
1,10000,142.44,71.22,75.0,142.44,0,False,100.0,222.5,False
2,20000,111.02,55.51,75.0,111.02,0,False,100.0,112.0,False
3,30000,31.67,15.83,16.07,31.67,0,False,99.3,73.48,False
5,50000,16.29,8.15,4.28,16.29,0,False,87.3,43.26,False
7,70000,30.04,15.02,24.49,30.04,0,False,69.7,32.0,False
10,100000,9.01,4.51,4.28,9.01,0,True,45.0,22.16,False
15,150000,6.81,3.4,4.28,6.81,0,True,3.3,14.83,False
20,200000,7.06,3.53,4.28,7.06,0,True,0.0,11.08,True
30,300000,5.42,2.71,4.28,5.42,0,True,0.0,7.36,True
50,500000,1.92,0.96,0.74,1.92,0,True,0.0,4.46,True
