코드,종목명,구분,최근분기,자본총계(억),부채비율(%),영업이익_최근4Q적자수,무거래일비중,경보
005930,삼성전자,편입,2026-03-31,4866360.0,30.0,0.0,0.0,✅
MU,MU,편입,-,,,,,✅
000660,SK하이닉스,편입,2026-03-31,1643798.0,36.0,0.0,0.0,✅
042700,한미반도체,편입,2026-03-31,6359.0,17.0,0.0,0.0,✅
348210,넥스틴,편입,2026-03-31,1445.0,69.0,3.0,0.0,✅
003160,디아이,편입,2026-03-31,2108.0,104.0,0.0,0.0,✅
089030,테크윙,편입,2026-03-31,2015.0,223.0,0.0,0.0,✅
112290,와이씨켐,편입,2026-03-31,497.0,225.0,2.0,0.052,✅
253590,네오셈,편입,2026-03-31,1255.0,28.0,1.0,0.0,✅
357780,솔브레인,편입,2026-03-31,11525.0,29.0,0.0,0.0,✅
322310,오로스테크놀로지,편입,2026-03-31,587.0,99.0,4.0,0.0,⛔4분기연속적자
036930,주성엔지니어링,편입,2026-03-31,5868.0,49.0,2.0,0.0,✅
425040,티이엠씨,편입,2026-03-31,2899.0,53.0,0.0,0.0,✅
222800,심텍,관찰,2026-03-31,5972.0,182.0,0.0,0.0,✅
036540,SFA반도체,관찰,2026-03-31,4822.0,19.0,4.0,0.0,⛔4분기연속적자
