TER(bp),매매비용(bp),현금(%),"추종오차(연율,bp)",누적 추종차이(%),실측 갭(로그 bp/년),TER 기여(bp/년),매매비용 기여(bp/년),현금 기여(bp/년)
15,10,0.0,3.272,-0.209,20.945,15.01,5.935,0.0
15,10,1.0,63.346,-1.298,130.75,15.01,5.876,109.864
15,30,0.0,9.71,-0.327,32.818,15.01,17.808,0.0
15,30,1.0,64.032,-1.414,142.504,15.01,17.63,109.864
30,10,0.0,3.437,-0.359,35.956,30.021,5.935,-0.0
30,10,1.0,63.459,-1.446,145.761,30.021,5.876,109.864
30,30,0.0,9.74,-0.477,47.829,30.021,17.808,-0.0
30,30,1.0,64.14,-1.562,157.515,30.021,17.63,109.864
45,10,0.0,3.718,-0.508,50.966,45.031,5.935,0.0
45,10,1.0,63.579,-1.594,160.771,45.031,5.876,109.864
45,30,0.0,9.816,-0.626,62.839,45.031,17.808,-0.0
45,30,1.0,64.255,-1.709,172.526,45.031,17.63,109.864
